feature	seed	run	result	reason	stage	summary
real_diamond	3000	1	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	3000	2	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	3000	3	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	105441651	1	FAIL	assertion_failed status=light_area Lighting radius=8 placed=3/8 phase=DONE	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=light_area Lighting radius=8 placed=3/8 phase=DONE}
real_diamond	105441651	2	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
real_diamond	105441651	3	FAIL	assertion_failed status=light_area Lighting radius=8 placed=7/8 phase=WALK	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=light_area Lighting radius=8 placed=7/8 phase=WALK}
real_diamond	155361719	1	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	155361719	2	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	155361719	3	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	206232996	1	FAIL	ore_dig_timeout collected=0	timeout	0/1 PASS: {real_diamond=FAIL:ore_dig_timeout collected=0}
real_diamond	206232996	2	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	206232996	3	FAIL	assertion_failed status=combat Attacking minecraft:bogged 0/1 phase=APPROACH	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=combat Attacking minecraft:bogged 0/1 phase=APPROACH}
real_diamond	12345	1	FAIL	assertion_failed status=light_area Lighting radius=8 placed=6/8 phase=WALK	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=light_area Lighting radius=8 placed=6/8 phase=WALK}
real_diamond	12345	2	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
real_diamond	12345	3	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	632510390	1	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	632510390	2	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	632510390	3	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
ALLDONE
